album_title_length,artist_name_length,track_duration,track_favourites,track_genres,track_interest,track_listens,track_title_length
14,3,104,0,'Electronic',1987,957,16
26,12,196,7,'Folk',1105,945,11
13,18,233,1,'Psych-Rock',1947,1527,6
11,16,380,1,'Electronic',2419,1935,4
47,17,202,0,'Rock',404,289,23
26,20,112,0,Novelty',2255,1143,5
18,4,45,0,Avant-Garde',3073,1251,28
56,17,144,12,'Soundtrack',7970,6925,9
13,21,143,1,'Electronic',1022,598,29
15,10,574,1,'Experimental',1760,1235,23
17,17,278,7,'Indie-Rock',6325,1659,11
12,13,211,41,'Soundtrack',85561,67145,24
17,10,97,0,'Electronic',1715,1429,15
33,14,203,1,Avant-Garde',645,534,38
22,29,1939,0,Jazz',1086,478,22
10,11,74,1,'Electronic',2257,1670,9
39,9,216,1,'Electronic',2020,1155,30
5,7,445,4,Avant-Garde',5949,4927,28
23,11,178,11,'Rock',11291,5425,21
14,11,776,0,'Electronic',1214,1008,1
7,29,350,1,Avant-Garde',1463,632,30
64,9,217,4,'Rock',1309,878,27
18,19,236,0,'Experimental Pop',557,416,14
16,7,150,0,Avant-Garde',267,237,8
59,5,8,3,'Ambient Electronic',2650,1164,24
65,5,327,1,'Electronic',2038,1633,5
13,12,166,0, 'Dance',3068,760,11
14,7,35,0,'Experimental',2841,1610,5
56,13,2016,1,'Rock',730,379,7
10,14,335,1,'Electronic',1838,1615,8
13,9,211,5,'Soundtrack',4252,3613,12
22,24,240,1,'Experimental',3231,2272,18
23,8,230,1,'Metal',3366,2722,5
9,28,252,0,'Experimental',1353,732,23
27,5,219,0,'Rock',204,174,40
10,10,82,0,Avant-Garde',187,85,53
39,14,108,0,'Rock',354,310,13
38,12,258,0,'Folk',5691,4834,4
27,9,154,0,'Punk',923,235,7
13,9,224,0,'Psych-Rock',882,281,2
11,15,276,43,'Soundtrack',24608,17140,17
9,14,464,0,'Electronic',511,404,8
46,12,168,0,'Folk',184,188,7
12,15,249,6,'Hip-Hop',5227,4174,15
16,14,248,0,'Electronic',436,344,6
9,4,270,3,'Ambient Electronic',1616,1189,10
13,16,205,2, 'Singer-Songwriter',3503,2666,10
43,8,196,3,'Experimental',1576,1158,14
10,15,611,0,'Noise',96,56,9
55,14,307,6,International',6194,2598,51
11,17,214,2,'Rock',926,751,19
8,3,213,3,'Electronic',482,352,6
34,14,323,1,Blues',1617,481,34
12,10,326,4,'Electronic',5116,4210,16
30,11,230,0,Avant-Garde',920,314,45
51,15,248,3,'Punk',450,114,19
43,10,151,1,'Rock',1300,504,10
14,19,296,0,'Pop',243,100,20
20,11,265,1,'Disco',2409,682,14
9,6,209,1,'Electronic',1789,1424,10
12,4,472,1,'Electronic',999,656,4
43,9,908,2, 'Interview',900,656,33
9,13,170,1,'Lo-Fi',7766,6616,13
9,17,407,0,'Experimental',2762,2408,53
35,7,124,1,'Electronic',2740,1828,22
40,14,274,0,'Folk',4703,3915,20
63,15,252,1, 'Interview',339,251,17
17,16,321,1,Blues',1577,401,34
22,14,19,1,Avant-Garde',327,190,11
8,16,83,8,Blues',17722,14102,4
17,11,105,1,'Pop',1561,314,19
63,18,166,0,'Folk',584,446,20
44,21,191,0,'Experimental Pop',1255,123,12
65,18,584,1,'Rock',655,512,23
15,8,124,0,'Noise',825,465,11
51,14,116,1,'Rock',777,150,9
27,13,270,0, 'Jungle',1042,886,5
23,15,214,6,'Psych-Folk',536,367,13
13,12,271,1,'Pop',1549,1145,15
21,6,223,0,'Hip-Hop',1009,410,26
22,18,143,0,Country',811,597,21
17,11,264,1,'Electronic',2124,1590,5
7,8,250,64,'Rock',14308,11714,9
15,4,588,1,'Industrial',1628,1179,14
11,18,128,0,'Electronic',2818,2455,15
9,6,135,3,'Hip-Hop',6285,5592,47
17,11,11,0,'Experimental Pop',1135,951,21
12,18,123,0,'Electronic',2831,2536,16
14,4,721,0,Avant-Garde',4035,1487,13
16,10,117,0,'Rock',813,669,18
35,18,337,0,'Psych-Folk',1069,658,10
19,14,27,2,Avant-Garde',4059,2974,6
18,10,166,0,'Electronic',668,598,10
26,12,330,5,'Folk',1357,1120,11
14,25,296,2,'Electronic',842,614,11
40,10,713,1,'Electronic',4111,2102,23
19,14,199,0,'Electronic',369,139,25
11,5,480,0,'Drone',2500,2005,28
10,17,326,2,'Folk',2547,1642,16
39,15,156,1, 'Power-Pop',867,683,31
18,42,299,4, 'Modern Jazz',5904,5010,38
1,28,193,6,Blues',3989,3353,13
27,12,632,1,'Field Recordings',1337,1029,23
7,21,207,4,'Ambient Electronic',2890,2282,8
51,11,385,1,'Punk',1277,997,40
64,36,288,5,Jazz',2334,1996,13
39,24,144,0,'Electronic',4093,1291,35
14,16,198,5,'Pop',1705,1363,18
21,6,164,40,'Pop',103631,49298,9
6,10,143,0,'Noise',1921,157,13
15,7,289,1,'Electronic',750,522,10
56,17,190,1, 'Power-Pop',670,465,22
13,12,220,0,'Lo-Fi',258,42,8
10,15,339,1,'Electronic',486,167,11
10,12,143,4,'Hip-Hop',1108,793,25
59,8,337,0,'Punk',612,616,6
14,11,498,1,'Electronic',752,496,6
4,11,162,1,'Folk',251,209,15
31,13,240,0,'Punk',270,184,14
13,9,385,1,'Lo-Fi',1896,1386,14
14,9,592,22,'Soundtrack',7036,5423,14
15,23,195,10,'Pop',3991,2908,23
6,7,183,42,'Sound Effects',25197,11440,5
43,11,349,0,'Experimental',697,306,34
22,9,318,2, 'Techno',7064,2570,10
29,5,163,1,'Rock',2813,2524,17
16,7,369,0,'Electronic',43,19,8
33,7,300,0,'Noise',204,157,10
11,11,296,3,'Hip-Hop',2095,1699,4
23,29,163,10,'Electronic',6462,4259,20
10,17,451,0,'Noise-Rock',736,56,20
40,12,326,1,'Electronic',337,204,49
10,10,563,2,'Noise',574,338,6
41,5,152,0,'Punk',1262,343,9
12,10,137,4,'Disco',5757,4924,14
28,12,212,3,'Rock',1920,1582,5
11,14,256,1,'Pop',1284,950,46
15,5,187,2,'Psych-Rock',5367,1459,15
5,9,270,3,'Electronic',3247,2691,5
49,25,142,2, 'Chiptune',3646,2470,10
43,12,242,0,'Punk',407,91,15
16,13,237,8,'Pop',9460,8176,10
7,21,181,0,'Lo-Fi',913,122,8
19,19,117,0,'Noise',957,82,14
7,9,320,0, 'Ambient',360,287,7
22,19,185,0,'Hip-Hop',1043,717,10
15,13,241,0,'Field Recordings',22,12,10
14,8,87,0,'Experimental Pop',570,392,10
15,11,180,1,'Afrobeat',5477,3223,7
20,15,168,2,'No Wave',638,404,10
10,9,262,0,'Electronic',2281,1683,10
23,13,291,0, 'Compilation',556,124,14
29,20,143,0,'Electronic',607,206,8
19,8,277,0,'Noise',1542,647,47
10,6,114,1,'Experimental',899,123,16
4,13,304,5,'Electronic',3368,2317,14
59,18,168,0,Avant-Garde',632,352,13
17,15,310,3,'Ambient Electronic',611,516,18
15,18,267,1,'Electronic',1670,1273,11
25,25,107,0,'Hip-Hop',1230,248,10
20,11,378,0,'Electronic',769,443,67
25,12,224,4,Old-Time / Historic',7173,5513,25
14,19,139,35,Classical',19461,15383,6
31,11,209,0,'Punk',1378,1128,25
17,10,142,0,'Noise-Rock',397,317,15
7,18,188,1,'Soundtrack',2511,2191,5
23,20,208,2,'Rock',304,216,18
15,12,157,1,'Noise',510,111,21
30,14,309,1,'Psych-Rock',1093,820,8
46,13,216,0,'Garage',305,180,9
16,9,532,15,'Soundtrack',8317,5714,16
48,13,239,0,'Pop',581,393,7
26,7,1291,1,Avant-Garde',1708,1095,28
48,8,158,5,'Rock',809,485,14
54,13,158,5,'Punk',2547,605,18
18,4,85,0,Avant-Garde',2770,1332,24
68,10,63,0,'Punk',99,78,5
2,4,137,0, 'Improv',402,12,8
18,8,254,0,'Electronic',225,170,4
30,8,147,0,'Pop',474,396,5
11,20,2002,3,Avant-Garde',2091,591,14
5,13,249,0,'Noise',2228,2008,14
3,8,64,0, 'Chiptune',504,160,28
50,30,163,0,'Folk',271,196,2
10,22,116,0,'Folk',334,239,6
15,16,184,19,International',14735,9141,21
32,12,1044,1,'Soundtrack',11639,9651,8
9,7,372,1,'Electronic',742,601,12
13,13,125,0,'Electroacoustic',401,27,4
11,5,14,0,'Experimental',696,235,9
18,16,127,0,Blues',2720,1718,11
11,12,301,2,'Pop',307,195,14
15,8,53,1,Avant-Garde',247,183,58
7,8,164,0,'Noise',201,13,1
42,5,272,0,'Indie-Rock',1477,163,19
49,12,174,0,'Rock',670,514,22
22,11,145,1,'Folk',1901,1583,9
31,9,744,2,'Latin America',4950,2602,30
20,11,1104,2,'Field Recordings',845,687,20
12,7,302,1, 'Techno',408,331,11
13,8,192,0,'Electronic',2667,2294,6
44,26,352,163,'Field Recordings',126203,98468,31
14,19,356,0,'Experimental',203,82,16
14,6,438,1,'Electronic',423,220,8
1,7,802,0,Avant-Garde',657,419,10
32,15,52,13,Classical',8893,5400,6
7,19,123,0,'Noise',947,565,2
3,11,165,5,'Pop',7853,2877,23
26,12,1170,0,'Electronic',4583,3547,21
16,12,194,2,'Hip-Hop',460,305,31
19,19,424,0,Avant-Garde',248,147,12
14,15,336,2,'Electronic',2108,1822,28
14,16,21,0,'Experimental Pop',636,27,11
15,22,187,0,'Noise',753,233,11
34,8,141,1,'Electronic',307,227,21
18,19,152,3,Avant-Garde',5595,4951,14
22,15,252,3,'Electronic',1141,725,25
15,16,192,0,Avant-Garde',174,93,12
8,15,166,3,'Electronic',1420,918,10
7,4,118,1,'Ambient Electronic',3804,3105,6
9,12,204,0,'Electronic',2122,855,11
17,4,200,1,'Electronic',791,649,26
15,5,328,2,'Noise',2486,2209,17
10,10,128,1,Classical',558,332,6
14,13,613,2,'Experimental',1249,947,36
22,9,187,2,'Hip-Hop',893,704,7
18,15,359,0,'Electronic',837,663,18
20,16,339,0,'Folk',77,56,16
14,31,176,1,'Noise',952,645,11
16,10,432,1,'Lo-Fi',450,320,9
28,10,652,0,'Drone',1526,703,12
10,6,208,2,Novelty',2543,2288,11
44,10,256,0, 'Grindcore',721,553,20
8,16,504,0,'Soundtrack',588,279,17
68,14,197,0,'Rock',1022,881,13
7,7,210,0,'Pop',1807,1421,7
70,8,69,0,'Punk',1076,960,6
40,8,355,2, 'Europe',2274,1765,14
8,10,183,1,Avant-Garde',761,347,8
12,3,53,1,'Experimental Pop',134,108,8
92,32,409,1,International',2449,719,15
9,16,248,0,'Electroacoustic',515,275,83
6,9,216,4,'Electronic',2247,1540,5
63,6,163,4,'Electronic',1251,781,17
13,13,302,2, 'Chill-out',490,196,13
21,13,239,1,'Noise-Rock',113,43,18
14,13,386,1,'Electronic',415,178,5
17,17,107,2,'Field Recordings',431,244,11
43,3,204,10,'Bluegrass',14483,8710,13
15,11,1501,0,'Experimental',1186,889,8
10,16,213,21, 'Trip-Hop',15630,14535,17
12,12,94,0,'Experimental',111,97,13
19,7,943,2, 'Sound Collage',613,242,30
50,15,365,1,'Folk',1828,1039,26
12,12,225,1,'Hip-Hop',623,457,8
28,10,334,3, 'Cumbia',8349,7051,24
9,12,260,2,'Psych-Rock',570,336,17
9,6,600,2,'Field Recordings',4353,3209,11
32,23,288,0,International',427,325,7
48,9,157,1,'Lo-Fi',311,208,9
37,14,291,1,'Punk',1598,409,48
15,10,180,0,'Experimental',720,590,37
9,15,306,1,'Electronic',908,98,18
8,13,58,10,'Soundtrack',21872,17205,19
8,5,56,4,'Noise-Rock',2686,1182,12
33,12,300,1,'Rock',885,574,15
9,8,274,0,'Reggae - Dub',765,572,1
13,7,188,7,'Electro-Punk',8077,6766,6
58,13,151,0,'Punk',6882,6592,14
23,5,292,5, 'Ambient',3307,2580,15
14,19,294,1,'Experimental',183,49,20
4,10,182,1,'Electronic',1431,1286,9
6,6,221,0,'Rock',2147,1961,25
16,7,1225,7, 'New Age',6001,4971,34
21,10,135,7, 'Holiday',7151,5529,17
31,14,209,3,'Indie-Rock',1758,1365,21
72,18,286,0,International',2196,1279,6
19,14,170,0, 'Musique Concrete',632,98,48
81,26,146,2,'Psych-Rock',1682,445,30
12,9,136,0,'Experimental Pop',623,74,13
17,14,735,1, 'Ambient',1171,955,23
9,6,52,3,'Psych-Folk',7121,1082,14
4,4,422,0,International',477,154,15
43,14,169,4,Old-Time / Historic',2184,1793,14
22,14,203,1,'Lo-Fi',2265,147,11
21,10,257,6,'Pop',3420,2622,15
22,17,105,0,'Pop',1074,174,26
37,8,119,0,'Freak-Folk',288,222,12
17,7,15,5,'Field Recordings',9504,4600,63
4,16,309,0,'Electronic',1272,671,10
67,18,78,0,'Pop',1447,1257,21
10,12,153,2,'Rock',1765,791,10
5,14,82,2,'Electronic',6054,4133,10
49,17,150,1,'Punk',290,205,9
26,6,143,3, 'Trip-Hop',1733,1311,11
43,9,191,0,'Garage',558,132,19
11,9,124,0,Avant-Garde',426,97,13
19,15,249,4,'Hip-Hop',2199,1560,26
20,15,343,6,Jazz',8271,4586,9
11,15,330,2,'Electronic',1221,748,52
49,22,185,0,'Folk',627,106,13
14,9,554,0,'Noise',705,334,21
4,7,221,2,'Electronic',4131,3518,4
49,11,158,0,International',622,432,15
17,16,181,2,'Psych-Rock',1551,1202,10
55,23,201,5,'Pop',1571,1360,21
27,5,259,2,'Rock',534,465,41
4,6,171,17,'Funk',8327,5054,32
24,13,176,3,Blues',1887,717,16
17,18,304,1,Avant-Garde',961,645,89
63,15,107,1, 'Interview',295,178,17
11,19,135,21,Classical',7881,5525,12
7,14,58,5,'Electronic',17540,13748,16
9,14,255,96,'Electronic',50225,27886,14
48,8,291,2,'Indie-Rock',2008,1647,6
34,16,229,0, 'Ambient',429,171,16
15,16,17,1,'Noise',822,242,13
5,14,214,2,'Punk',4843,3810,11
30,3,476,1,Avant-Garde',754,443,26
30,11,187,0,Avant-Garde',678,264,52
61,25,149,0,'Experimental',535,428,4
13,23,308,1,Avant-Garde',614,449,13
11,11,165,2,'Experimental',2854,2380,15
6,7,173,10,'Electro-Punk',7485,6134,12
9,10,269,0,'Pop',701,598,16
5,9,268,5,'Electronic',3933,3296,43
11,17,209,2,'Soundtrack',4747,3794,19
15,11,135,0,'Electronic',3696,2731,9
19,11,168,8,'Hip-Hop',1723,1508,14
43,21,379,1,'Rock',2129,1769,19
18,21,75,0,'Folk',874,547,12
13,13,159,6,Country',1748,1504,7
18,20,182,0,'Electronic',20,10,13
14,14,190,14,'Pop',7917,6488,20
43,43,262,1,'Experimental',432,287,18
36,14,68,0,'Loud-Rock',1837,546,7
21,23,381,0,'Lo-Fi',307,233,9
61,16,139,1,'Experimental Pop',548,84,54
16,8,258,0,'Free-Jazz',1037,889,18
5,10,360,7,'Electronic',10754,9310,10
61,12,160,0,'Experimental',301,118,44
15,7,218,4,'Electronic',10643,8724,6
33,12,368,20,'Experimental Pop',14275,11469,20
16,6,89,2,Classical',2248,1832,10
15,11,289,0,'Experimental',669,512,25
46,21,216,3,'Reggae - Dub',1462,1282,30
13,13,225,26,'Rock',17461,15383,11
20,13,212,2,'Hip-Hop',1566,1019,32
24,15,629,1,'Electronic',1076,491,1
10,17,248,7,'Soundtrack',11511,9983,20
32,24,336,0,'Post-Rock',947,676,5
11,14,306,1,'Electro-Punk',236,165,15
10,14,30,0,'Experimental',895,771,4
12,12,291,2,Avant-Garde',3570,1057,10
24,5,7,0,Avant-Garde',1204,1108,1
19,15,417,7,Jazz',9684,3213,16
19,8,212,0, 'Alternative Hip-Ho,1191,424,28
13,12,153,1,'Electronic',250,90,6
12,14,186,1,'Electronic',1810,763,7
35,6,321,1,'Electronic',2363,1806,7
37,13,247,5,'Pop',3540,2850,29
8,17,98,0,'Experimental',1858,1628,8
25,3,210,2,'Hip-Hop',3241,1048,13
9,32,166,2,'Pop',588,525,17
20,11,133,0,'Rock',1699,750,21
10,19,258,23, 'Ambient',18375,14724,36
13,16,144,0,'Electronic',454,417,12
15,7,349,2,'Ambient Electronic',6488,2354,12
12,13,241,0,Avant-Garde',395,183,13
12,24,510,8,'Free-Jazz',6760,5640,6
19,13,233,0,'Rock',1023,742,10
15,18,193,1,Avant-Garde',993,873,4
14,10,238,9,'Jazz: Vocal',5646,3610,19
14,10,226,0,'Rock',373,251,7
12,19,817,1,'Noise',718,224,12
22,22,447,1,'Experimental',5725,4963,8
30,13,326,0,Avant-Garde',485,291,9
21,3,375,0,'Experimental',587,213,13
17,10,308,3,'Electronic',1751,1424,11
15,12,130,2,'Loud-Rock',1752,1119,5
16,11,340,2,'Electronic',2406,2057,13
10,12,199,0,'Rock',440,333,24
26,16,183,2,'Drone',1115,760,33
18,13,303,1,'Noise-Rock',87,14,16
11,14,65,0,'Lo-Fi',507,59,14
43,6,495,1, 'Interview',401,241,42
14,14,277,10,'Pop',5176,1813,13
15,11,147,1,'Noise',1033,483,14
10,12,166,1,'Electronic',1110,864,7
37,10,135,12,'Electronic',5012,2227,85
43,18,170,12,Old-Time / Historic',11834,10086,18
4,12,186,11,'Soundtrack',5149,4299,7
25,12,208,0,'Ambient Electronic',1212,578,26
18,8,298,1,'Electronic',1051,470,20
40,7,205,1,'Rock',170,105,15
7,14,118,1, 'Ambient',1136,980,17
48,10,430,3,'Spoken',921,593,19
6,9,279,1,'Noise',1300,682,11
17,11,195,4,'Pop',3510,2611,6
14,7,216,0,Avant-Garde',211,71,6
63,9,221,0,'Rock',162,79,16
26,7,616,0,Avant-Garde',3495,3160,23
22,20,265,0,'Hip-Hop',3593,875,32
16,16,103,2,Blues',8841,6775,18
57,10,100,3,'Rock',330,194,7
31,23,87,0,'Noise',786,181,31
30,15,519,0,Avant-Garde',527,215,14
14,13,216,0,Jazz',5076,2763,14
13,15,60,0,Avant-Garde',558,115,8
18,15,179,1,'Soundtrack',3657,3127,21
44,5,538,1,'Rock',3291,2564,20
11,13,117,0,'Punk',420,184,9
32,9,347,0, 'Balkan',510,398,10
13,10,155,1,Avant-Garde',860,705,69
50,16,135,0,'Punk',268,158,19
17,9,14,0,'Experimental Pop',507,397,3
7,9,274,5,Avant-Garde',2407,2072,4
17,12,243,5,Country',7197,5740,17
13,25,356,1,Avant-Garde',816,622,13
17,9,167,0,Avant-Garde',1018,297,24
27,5,171,4,'Rock',1657,1383,7
4,6,254,1,'Electronic',1979,1355,35
12,10,212,4, 'Singer-Songwriter',1924,1505,12
9,80,387,1, 'Contemporary Class,238,194,36
18,11,162,0,'Electronic',28,23,13
33,13,279,0,'Noise',254,104,20
47,20,307,2,'African',5435,1760,49
44,6,220,5,'Indie-Rock',6460,4736,7
23,8,214,0,'Folk',1570,1424,15
17,13,15,1,'Experimental Pop',509,403,10
7,13,361,6,'Electronic',2704,1453,7
18,22,289,1,'Folk',920,769,21
18,9,202,3,'Disco',4098,1843,13
15,9,226,0,'Rock',792,161,10
50,10,137,1,Avant-Garde',553,400,19
30,31,565,0,Avant-Garde',742,308,48
8,6,91,0,Avant-Garde',117,91,12
42,12,351,4,'Electronic',26606,22509,13
7,7,280,2,'Experimental',589,56,9
32,18,336,0,'Folk',323,183,13
59,14,644,0,'Experimental',481,370,16
11,31,124,0,Avant-Garde',315,283,8
4,14,171,0,'Rock',165,127,12
33,13,259,1,'Rock',560,368,20
41,21,298,4,'Rock',1353,1114,6
7,5,105,2,'Post-Rock',1547,1251,5
6,13,75,10,'Soundtrack',40543,35864,15
30,11,460,0,Avant-Garde',2708,1120,55
22,8,296,15,'Electronic',11393,9496,26
7,3,445,0,'Experimental',1015,205,11
20,6,26,0,'Experimental',1276,408,8
37,12,104,2,'Experimental Pop',3029,2394,35
10,18,188,2,'Electronic',2269,1403,11
22,27,195,0,Avant-Garde',408,291,23
19,27,293,11,Jazz',9828,8596,7
20,11,189,3,Country',4557,3141,18
18,18,1163,6,'Experimental',986,502,4
21,30,256,1,'Folk',838,220,11
9,10,463,0, 'Ambient',100,61,45
13,9,274,1,'Pop',4774,2033,10
24,5,272,0,'Electronic',655,157,38
11,8,182,3,'Electronic',1737,603,14
68,33,251,2,'Rock',1909,999,25
39,20,148,0,Avant-Garde',844,704,7
34,6,79,3,'Pop',1844,1537,32
65,10,145,4, 'Hardcore',3929,3484,16
20,8,264,4,International',2788,1712,10
62,11,69,0,'Rock',916,760,13
16,9,257,0,'Ambient Electronic',739,471,7
15,10,379,2,'Experimental',2296,1963,25
51,9,240,0,'Rock',3396,2575,3
32,12,249,7,'Rock',3506,2390,19
8,12,242,0,'Lo-Fi',236,29,3
12,15,178,0,'Freak-Folk',61,35,16
30,9,438,1,'Psych-Rock',919,620,37
12,9,271,0, 'Hip-Hop Beats',827,697,27
17,17,539,0,'Electronic',3879,3375,14
13,7,290,2,'Ambient Electronic',2827,1726,7
12,11,307,0,Avant-Garde',200,103,16
12,15,273,2,'Indie-Rock',2052,1568,5
11,5,375,1,'Electronic',2145,1024,7
8,11,23,0,'Lo-Fi',2639,371,21
27,13,119,1,Avant-Garde',533,113,9
20,13,155,3,'Experimental Pop',1861,1531,8
13,13,3220,1,'Free-Folk',1248,818,16
30,10,1228,1,'Electronic',924,144,13
21,13,122,14, 'Composed Music',17756,14669,18
19,14,236,1, 'Techno',1281,971,14
15,6,304,0,'Electronic',792,594,21
23,12,138,3,'Electronic',7888,6545,15
15,12,954,0,'Electronic',1916,999,15
66,38,137,3,'Rock',3752,2363,28
12,14,150,2,'Hip-Hop',1133,799,40
2,6,179,1,'Noise',1273,1039,9
4,4,232,1,International',664,280,15
35,21,130,1,'Experimental',1161,265,40
12,9,249,0,'Electronic',922,773,10
13,13,230,0,'Electronic',324,231,13
10,14,1387,0,'Experimental',3855,2613,10
29,18,134,5,'Folk',5679,3263,15
25,27,114,0, 'Spoken Word',237,159,47
19,7,290,27,'Pop',12185,5908,25
24,30,1008,0,'Soundtrack',465,207,22
19,12,360,1,'Electroacoustic',309,124,1
12,15,540,0,'Noise',488,147,19
13,19,491,0,'Field Recordings',1487,883,26
44,8,167,1,'Punk',1126,1017,36
6,6,116,15,'Soul-RnB',4750,3902,5
40,6,425,1,'Hip-Hop',988,342,17
1,12,291,0,Avant-Garde',754,345,12
36,9,748,0,'Punk',246,131,7
37,12,113,0,Classical',526,266,53
36,12,52,205,'Soundtrack',502000,208290,13
7,23,153,3,'Electronic',382,260,6
27,13,250,6,'Experimental',2147,1571,34
17,17,276,3,'Field Recordings',1516,1436,22
17,16,184,2,'Metal',224,141,10
9,18,200,6,'Experimental',9004,4227,138
21,14,190,7,'Indie-Rock',1299,555,12
16,17,120,11,Classical',5140,4009,27
15,15,111,0, 'Glitch',949,130,7
20,10,201,2,'Folk',4092,1374,24
45,12,169,0,Classical',322,98,40
28,10,256,1,'Electronic',1618,508,24
20,11,259,0,'Post-Rock',608,532,14
8,9,200,8, 'House',9632,7884,8
19,4,43,1,'Folk',5123,2838,20
20,10,233,20,'Electronic',6824,3771,15
5,11,302,1,'Electronic',477,349,28
34,5,130,2,'Electronic',1433,1235,10
17,12,216,4,Classical',9140,5547,39
30,12,202,0,Classical',560,239,47
14,4,407,1,'Experimental',618,497,6
50,14,194,0,'Rock',127,76,20
24,9,793,0,'Electronic',214,140,4
25,7,187,3,Blues',3701,3003,7
11,16,384,3,'Electronic',2711,1641,13
35,18,220,11,'Hip-Hop',10059,7788,14
16,14,165,0,'Electronic',167,68,25
51,9,336,5,'Hip-Hop',1238,775,20
14,11,297,1,'Electronic',3750,2898,18
35,18,322,8,'Experimental',2127,1607,5
11,7,208,0,'Post-Rock',253,86,6
14,6,78,0,'Electronic',1567,1325,21
10,10,306,2,'Pop',2044,869,5
9,12,269,1, 'Chip Music',1118,252,28
30,13,184,2,Avant-Garde',447,286,6
43,13,319,2,'Audio Collage',2139,418,34
41,7,300,0,'Folk',371,319,6
12,9,139,3,Blues',5977,5007,22
23,19,313,0,'Folk',1088,178,23
15,13,80,0, 'IDM',610,307,13
8,5,82,4,'Noise-Rock',3925,2300,7
15,9,261,0,'Experimental',248,76,6
12,7,77,2,Avant-Garde',2694,2188,11
33,9,1264,0,'Experimental',258,30,18
38,8,88,0,'Lo-Fi',1056,889,19
10,13,112,0,'Pop',756,599,20
20,8,78,0,'Electronic',710,577,10
20,36,683,0,'Experimental',148,100,16
13,13,248,8, 'Singer-Songwriter',5723,4714,22
19,34,490,0,'Noise',397,67,4
8,3,90,0,'Experimental',1157,540,10
6,11,475,0,'Electronic',3588,917,7
29,19,340,0, 'Improv',789,295,19
